# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous)	moments(pressure viscous)
0.05                	((8.521242686211e+02 9.734444784065e+01 1.728394937449e-16) (9.419425224133e+02 1.167646310465e+02 -4.876107917934e-17)) ((-4.867222392032e+01 4.260621343105e+02 -8.521242833993e+00) (-5.838231552325e+01 4.709712612067e+02 -6.453734616818e+00))
0.055               	((8.098653942599e+02 7.674682634306e+01 1.706213022627e-16) (9.056686920033e+02 1.067587537801e+02 -6.037107210282e-17)) ((-3.837341317153e+01 4.049326971300e+02 -8.098654049465e+00) (-5.337937689003e+01 4.528343460017e+02 -5.144091880318e+00))
0.06                	((7.746446081940e+02 6.125060597009e+01 1.672983236439e-16) (8.735955492148e+02 9.861201207387e+01 -6.098536297080e-17)) ((-3.062530298505e+01 3.873223040970e+02 -7.746446121435e+00) (-4.930600603693e+01 4.367977746074e+02 -4.121840794913e+00))
0.065               	((7.444585965602e+02 4.840889640506e+01 1.638767736114e-16) (8.450006300215e+02 9.180704366798e+01 -6.092136530145e-17)) ((-2.420444820253e+01 3.722292982801e+02 -7.444585873318e+00) (-4.590352183399e+01 4.225003150107e+02 -3.320992019958e+00))
0.07                	((7.181491583766e+02 3.818915514706e+01 1.607760274078e-16) (8.191927587497e+02 8.604629252048e+01 -6.080092146098e-17)) ((-1.909457757353e+01 3.590745791883e+02 -7.181491381829e+00) (-4.302314626024e+01 4.095963793749e+02 -2.646418747730e+00))
0.075               	((6.953706040899e+02 2.959439394309e+01 1.585935677486e-16) (7.955735808109e+02 8.108923193586e+01 -6.069504097146e-17)) ((-1.479719697154e+01 3.476853020449e+02 -6.953705759189e+00) (-4.054461596793e+01 3.977867904055e+02 -2.108343149053e+00))
0.08                	((6.750158285378e+02 2.276612341342e+01 1.566132064144e-16) (7.739007398211e+02 7.673759461019e+01 -6.035372739152e-17)) ((-1.138306170671e+01 3.375079142689e+02 -6.750157961058e+00) (-3.836879730509e+01 3.869503699106e+02 -1.709345424823e+00))
0.085               	((6.569658690129e+02 1.734673396904e+01 1.549394668035e-16) (7.538764347243e+02 7.288733980954e+01 -5.998509217756e-17)) ((-8.673366984519e+00 3.284829345065e+02 -6.569658363524e+00) (-3.644366990477e+01 3.769382173621e+02 -1.400983089535e+00))
0.09                	((6.407834678678e+02 1.263296984177e+01 1.540040008522e-16) (7.352426914139e+02 6.949599029737e+01 -5.976444697389e-17)) ((-6.316484920883e+00 3.203917339339e+02 -6.407834366409e+00) (-3.474799514868e+01 3.676213457070e+02 -1.144000602707e+00))
0.095               	((6.258187250245e+02 8.851883111544e+00 1.532196250552e-16) (7.178205281452e+02 6.642721610150e+01 -5.921221142614e-17)) ((-4.425941555772e+00 3.129093625123e+02 -6.258186950012e+00) (-3.321360805075e+01 3.589102640726e+02 -9.451705959643e-01))
0.1                 	((6.121670567892e+02 5.172205156676e+00 1.525311462046e-16) (7.014848953040e+02 6.366793119370e+01 -5.864376063744e-17)) ((-2.586102578338e+00 3.060835283946e+02 -6.121670286444e+00) (-3.183396559685e+01 3.507424476520e+02 -7.989464521666e-01))
